DOI,Journal,Year,Material,Material_Class,Doping,Gas,DFT_Software,Functional,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit,Gas_MolecularWeight,Gas_XLogP,Gas_TPSA,Gas_HeavyAtomCount,Gas_HBondDonorCount,Gas_HBondAcceptorCount,Mat_Group,Mat_Layers,Mat_MetalFraction
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,N-doped Graphene,2D Carbon,N,NO2,CASTEP,LDA (CA-PZ),-0.98,-0.55,2.87,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.01
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,N-doped Graphene,2D Carbon,N,NH3,CASTEP,LDA (CA-PZ),-0.12,0.04,2.86,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.01
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,CO,CASTEP,LDA (CA-PZ),-2.33,0.26,1.33,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,NO,CASTEP,LDA (CA-PZ),-3.04,-0.29,1.34,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,NO2,CASTEP,LDA (CA-PZ),-3.04,-0.38,1.42,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,NH3,CASTEP,LDA (CA-PZ),-0.24,0.02,2.61,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0184,0.021,3.7,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0187,0.021,3.7,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0203,0.021,3.69,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0238,0.013,3.55,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0237,0.015,3.56,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0265,0.014,3.55,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0178,-0.009,4.05,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0185,-0.009,4.05,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.0194,-0.01,4.02,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,H2O,Abinit,PBE,0.047,-0.025,3.5,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NH3,Abinit,PBE,0.0211,0.026,3.86,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NH3,Abinit,PBE,0.0201,0.026,3.86,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NH3,Abinit,PBE,0.0308,0.027,3.81,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NH3,Abinit,PBE,0.0147,0.001,4.08,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NH3,Abinit,PBE,0.0156,0.0,3.97,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NH3,Abinit,PBE,0.0247,-0.001,3.92,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,CO,Abinit,PBE,0.01,0.019,3.75,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,CO,Abinit,PBE,0.0096,0.019,3.75,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,CO,Abinit,PBE,0.0131,0.019,3.73,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,CO,Abinit,PBE,0.0084,0.009,3.72,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,CO,Abinit,PBE,0.0096,0.01,3.7,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,CO,Abinit,PBE,0.014,0.013,3.74,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,CO,Abinit,PBE,0.0141,0.012,3.74,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO2,Abinit,PBE,0.0674,-0.099,3.61,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO2,Abinit,PBE,0.0653,-0.099,3.61,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO2,Abinit,PBE,0.0626,-0.098,3.64,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO2,Abinit,PBE,0.0547,-0.089,3.83,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO2,Abinit,PBE,0.0545,-0.09,3.93,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO2,Abinit,PBE,0.0667,-0.102,3.83,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO,Abinit,PBE,0.0157,0.006,4.35,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO,Abinit,PBE,0.014,0.006,4.35,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO,Abinit,PBE,0.0126,0.007,4.11,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO,Abinit,PBE,0.0106,0.005,4.27,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO,Abinit,PBE,0.0279,0.018,3.71,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,,NO,Abinit,PBE,0.0285,0.017,3.76,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO,VASP,PBE,-0.003,,3.5,1.52,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO,VASP,DFT-D2,-0.073,,3.5,1.52,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO,VASP,optPBE-vdw,-0.163,,3.5,1.52,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO,VASP,revPBE-vdw,-0.143,,3.5,1.52,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO2,VASP,PBE,-0.004,,3.18,1.52,,,,,,,,,,,44.009,0.9,34.1,3,0,2,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO2,VASP,DFT-D2,-0.139,,3.18,1.52,,,,,,,,,,,44.009,0.9,34.1,3,0,2,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO2,VASP,optPBE-vdw,-0.253,,3.18,1.52,,,,,,,,,,,44.009,0.9,34.1,3,0,2,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,CO2,VASP,revPBE-vdw,-0.21,,3.18,1.52,,,,,,,,,,,44.009,0.9,34.1,3,0,2,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NH3,VASP,PBE,-0.009,,,1.52,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NH3,VASP,DFT-D2,-0.127,,,1.52,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NH3,VASP,optPBE-vdw,-0.176,,,1.52,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NH3,VASP,revPBE-vdw,-0.13,,,1.52,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO,VASP,PBE,-0.066,,,1.52,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO,VASP,DFT-D2,-0.153,,,1.52,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO,VASP,optPBE-vdw,-0.254,,,1.52,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO,VASP,revPBE-vdw,-0.239,,,1.52,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO2,VASP,PBE,-0.036,-0.034,,1.52,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO2,VASP,DFT-D2,-0.138,-0.034,,1.52,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO2,VASP,optPBE-vdw,-0.287,-0.034,,1.52,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,,NO2,VASP,revPBE-vdw,-0.241,-0.034,,1.52,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,,H2,VASP,LSDA,-0.082,0.004,,1.86,,,,,,,,,,,2.016,0.0,0.0,0,0,0,tmd,1,0.33
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,,O2,VASP,LSDA,-0.116,0.04,,1.86,,,,,,,,,,,31.999,-1.1,34.1,2,0,2,tmd,1,0.33
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,,H2O,VASP,LSDA,-0.234,0.01,,1.86,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,tmd,1,0.33
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,,NH3,VASP,LSDA,-0.25,-0.069,2.46,1.86,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,,NO,VASP,LSDA,-0.211,0.022,,1.86,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,,NO2,VASP,LSDA,-0.276,0.1,,1.86,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,,CO,VASP,LSDA,-0.128,0.004,2.95,1.86,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,MoS2,TMD,,NO,,,-0.18,,2.839,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,MoS2,TMD,,NO2,,,-0.233,,2.829,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,WS2,TMD,,NO,,,-0.165,,2.735,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,WS2,TMD,,NO2,,,-0.201,,2.931,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,H2,VASP,PBE,-0.07,,,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,NH3,VASP,PBE,-0.37,-0.15,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,H2O,VASP,PBE,-0.21,,,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,CO,VASP,PBE,-0.13,,,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,CO2,VASP,PBE,-0.2,,,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,N2,VASP,PBE,-0.13,,,,,,,,,,,,,,28.014,0.1,47.6,2,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,NO,VASP,PBE,-0.25,,,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,NO2,VASP,PBE,-0.17,,,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,H2S,VASP,PBE,-0.24,,,,,,,,,,,,,,34.08,0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,,SO2,VASP,PBE,-0.26,,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,H2,VASP,PBE,-0.09,,,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,NH3,VASP,PBE,-0.48,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,H2O,VASP,PBE,-0.45,,,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,CO,VASP,PBE,-0.14,,,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,CO2,VASP,PBE,-0.36,,,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,N2,VASP,PBE,-0.36,,,,,,,,,,,,,,28.014,0.1,47.6,2,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,NO,VASP,PBE,-0.73,-0.2,,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,NO2,VASP,PBE,-0.18,,,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,H2S,VASP,PBE,-0.51,,,,,,,,,,,,,,34.08,0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,,SO2,VASP,PBE,-0.27,,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,H2,VASP,PBE,-0.06,,,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,NH3,VASP,PBE,-0.5,-0.17,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,H2O,VASP,PBE,-0.2,,,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,CO,VASP,PBE,-0.12,,,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,CO2,VASP,PBE,-0.2,,,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,N2,VASP,PBE,-0.12,,,,,,,,,,,,,,28.014,0.1,47.6,2,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,NO,VASP,PBE,-0.21,,,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,NO2,VASP,PBE,-0.18,,,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,H2S,VASP,PBE,-0.24,,,,,,,,,,,,,,34.08,0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,,SO2,VASP,PBE,-0.29,,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,NH3,VASP,PBE,-0.4,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,NO,VASP,PBE,-0.8,-0.22,,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,H2S,VASP,PBE,-0.39,,,,,,,,,,,,,,34.08,0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,SO2,VASP,PBE,-0.28,,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,NO2,VASP,PBE,-0.26,,,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,H2O,VASP,PBE,-0.21,,,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,CO2,VASP,PBE,-0.21,,,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,CO,VASP,PBE,-0.12,,,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,mxene,1,0.25
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,,N2,VASP,PBE,-0.12,,,,,,,,,,,,,,28.014,0.1,47.6,2,0,2,mxene,1,0.25
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,,CO,,,-0.096,,,,,,,,,6.0,,,,,28.010,0.7,1.0,2,0,1,mxene,1,0.3
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,,NH3,,,-0.344,,,,,,,,,12.0,,,,,17.031,-0.7,1.0,1,1,1,mxene,1,0.3
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,,NO,,,-0.349,,,,,,,,,6.0,,,,,30.006,0.2,18.1,2,0,1,mxene,1,0.3
