Record_ID,DOI,Title,Authors,Journal,Year,Material,Doping,Gas,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,DFT_Software,Functional,Data_Source,Extraction_Notes,Source_URL
30,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NH3,0.0147,0.001,4.08,Abinit,PBE,table,"Table; site=B, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
31,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NH3,0.0156,0.0,3.97,Abinit,PBE,table,"Table; site=T, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
32,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NH3,0.0247,-0.001,3.92,Abinit,PBE,table,"Table; site=C, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
33,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,CO,0.01,0.019,3.75,Abinit,PBE,table,"Table; site=B, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
34,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,CO,0.0096,0.019,3.75,Abinit,PBE,table,"Table; site=T, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
35,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,CO,0.0131,0.019,3.73,Abinit,PBE,table,"Table; site=C, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
36,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,CO,0.0084,0.009,3.72,Abinit,PBE,table,"Table; site=T, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
37,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,CO,0.0096,0.01,3.7,Abinit,PBE,table,"Table; site=C, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
38,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,CO,0.014,0.013,3.74,Abinit,PBE,table,"Table; site=B, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
39,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,CO,0.0141,0.012,3.74,Abinit,PBE,table,"Table; site=C, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
40,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO2,0.0674,-0.099,3.61,Abinit,PBE,table,"Table; site=B, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
41,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO2,0.0653,-0.099,3.61,Abinit,PBE,table,"Table; site=T, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
42,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO2,0.0626,-0.098,3.64,Abinit,PBE,table,"Table; site=C, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
43,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO2,0.0547,-0.089,3.83,Abinit,PBE,table,"Table; site=B, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
44,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO2,0.0545,-0.09,3.93,Abinit,PBE,table,"Table; site=T, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
45,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO2,0.0667,-0.102,3.83,Abinit,PBE,table,"Table; site=C, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
46,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO,0.0157,0.006,4.35,Abinit,PBE,table,"Table; site=C, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
47,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO,0.014,0.006,4.35,Abinit,PBE,table,"Table; site=T, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
48,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO,0.0126,0.007,4.11,Abinit,PBE,table,"Table; site=C, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
49,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO,0.0106,0.005,4.27,Abinit,PBE,table,"Table; site=T, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
50,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO,0.0279,0.018,3.71,Abinit,PBE,table,"Table; site=C, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
51,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NO,0.0285,0.017,3.76,Abinit,PBE,table,"Table; site=B, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
52,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO,-0.003,NA,3.5,VASP,PBE,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
53,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO,-0.073,NA,3.5,VASP,DFT-D2,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
54,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO,-0.163,NA,3.5,VASP,optPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
55,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO,-0.143,NA,3.5,VASP,revPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
56,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO2,-0.004,NA,3.18,VASP,PBE,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
57,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO2,-0.139,NA,3.18,VASP,DFT-D2,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
58,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO2,-0.253,NA,3.18,VASP,optPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
59,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,CO2,-0.21,NA,3.18,VASP,revPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
60,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NH3,-0.009,NA,NA,VASP,PBE,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
61,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NH3,-0.127,NA,NA,VASP,DFT-D2,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
62,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NH3,-0.176,NA,NA,VASP,optPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
63,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NH3,-0.13,NA,NA,VASP,revPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
64,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO,-0.066,NA,NA,VASP,PBE,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
65,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO,-0.153,NA,NA,VASP,DFT-D2,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
66,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO,-0.254,NA,NA,VASP,optPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
67,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO,-0.239,NA,NA,VASP,revPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
68,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO2,-0.036,-0.034,NA,VASP,PBE,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
69,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO2,-0.138,-0.034,NA,VASP,DFT-D2,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
70,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO2,-0.287,-0.034,NA,VASP,optPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
71,10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,NA,NO2,-0.241,-0.034,NA,VASP,revPBE-vdw,table,Table I; Bader charge for NO2 only,https://doi.org/10.1016/j.cplett.2014.01.043
72,10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,MoS2,NA,H2,-0.082,0.004,NA,VASP,LSDA,table,Table 1 LDA; negative Q = transfer from gas to MoS2,https://doi.org/10.1186/1556-276X-8-425
73,10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,MoS2,NA,O2,-0.116,0.04,NA,VASP,LSDA,table,Table 1 LDA; negative Q = transfer from gas to MoS2,https://doi.org/10.1186/1556-276X-8-425
74,10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,MoS2,NA,H2O,-0.234,0.01,NA,VASP,LSDA,table,Table 1 LDA; negative Q = transfer from gas to MoS2,https://doi.org/10.1186/1556-276X-8-425
75,10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,MoS2,NA,NH3,-0.25,-0.069,2.46,VASP,LSDA,table,Table 1 LDA; negative Q = transfer from gas to MoS2,https://doi.org/10.1186/1556-276X-8-425
76,10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,MoS2,NA,NO,-0.211,0.022,NA,VASP,LSDA,table,Table 1 LDA; negative Q = transfer from gas to MoS2,https://doi.org/10.1186/1556-276X-8-425
77,10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,MoS2,NA,NO2,-0.276,0.1,NA,VASP,LSDA,table,Table 1 LDA; negative Q = transfer from gas to MoS2,https://doi.org/10.1186/1556-276X-8-425
