material,Eg_eV,chi_eV,role,chi_source
AgTaAgNbO6,3.367340076,3.7118,absorber,ml_plus_family_prior
AgTaBaSnO6,4.115527804,3.6044,absorber,ml_plus_family_prior
AgTaBaTiO6,3.65187538,3.5922,absorber,ml_plus_family_prior
AgTaCaGeO6,4.596741977,3.5738,absorber,ml_plus_family_prior
AgTaCaSiO6,4.787204683,3.5643,absorber,ml_plus_family_prior
AgTaCaSnO6,4.567418298,3.5938,absorber,ml_plus_family_prior
AgTaCaTiO6,3.856408782,3.5927,absorber,ml_plus_family_prior
AgTaCsNbO6,3.257419299,3.6688,absorber,ml_plus_family_prior
AgTaCsVO6,2.169553701,3.8164,absorber,ml_plus_family_prior
AgTaGaNbO6,1.784718332,3.8403,absorber,ml_plus_family_prior
AgTaGaTaO6,2.285462409,3.7393,absorber,ml_plus_family_prior
AgTaKNbO6,3.43280078,3.6895,absorber,ml_plus_family_prior
AgTaKSbO6,4.253437286,3.5737,absorber,ml_plus_family_prior
AgTaLaAlO6,4.544527043,3.543,absorber,ml_plus_family_prior
AgTaLaGaO6,4.428479438,3.574,absorber,ml_plus_family_prior
AgTaLaInO6,4.598427211,3.5679,absorber,ml_plus_family_prior
AgTaLiNbO6,3.554350261,3.5966,absorber,ml_plus_family_prior
AgTaLiVO6,1.661856626,3.8711,absorber,ml_plus_family_prior
AgTaMgTiO6,4.541470588,3.5443,absorber,ml_plus_family_prior
AgTaNaNbO6,3.523501827,3.6894,absorber,ml_plus_family_prior
AgTaNaSbO6,4.383274568,3.5779,absorber,ml_plus_family_prior
AgTaNaVO6,1.67087028,3.8711,absorber,ml_plus_family_prior
AgTaPbHfO6,4.468824182,3.5699,absorber,ml_plus_family_prior
AgTaPbTiO6,3.806312329,3.5971,absorber,ml_plus_family_prior
AgTaPbZrO6,4.43593134,3.5849,absorber,ml_plus_family_prior
AgTaRbNbO6,3.372019754,3.7118,absorber,ml_plus_family_prior
AgTaSnHfO6,3.676099376,3.6285,absorber,ml_plus_family_prior
AgTaSnTiO6,3.280047217,3.7178,absorber,ml_plus_family_prior
AgTaSnZrO6,3.671961049,3.6303,absorber,ml_plus_family_prior
AgTaSrGeO6,4.544428383,3.5701,absorber,ml_plus_family_prior
AgTaSrSiO6,4.692218139,3.5632,absorber,ml_plus_family_prior
AgTaSrSnO6,4.170643623,3.6044,absorber,ml_plus_family_prior
AgTaSrTiO6,3.79098509,3.5936,absorber,ml_plus_family_prior
AgTaTlNbO6,1.792464465,3.879,absorber,ml_plus_family_prior
AgTaYAlO6,4.914572548,3.5333,absorber,ml_plus_family_prior
AlAs,2.35,3.23,monolayer,literature_HSE06_monolayer
AlN,4.04,1.96,monolayer,literature_HSE06_monolayer
AlP,3.14,2.6199999999999997,monolayer,literature_HSE06_monolayer
AlSb_b,2.09,2.29,monolayer,literature_HSE06_monolayer
As_b,2.06,3.48,monolayer,literature_HSE06_monolayer
As_w,1.25,3.71,monolayer,literature_HSE06_monolayer
BaHfAgNbO6,4.078047088,3.5585,absorber,ml_plus_family_prior
BaHfAgTaO6,4.189891965,3.5759,absorber,ml_plus_family_prior
BaHfBaSnO6,6.081554918,3.5628,absorber,ml_plus_family_prior
BaHfBaTiO6,4.617955975,3.5671,absorber,ml_plus_family_prior
BaHfBaZrO6,6.343123966,3.5448,absorber,ml_plus_family_prior
BaHfCaGeO6,6.350080917,3.5452,absorber,ml_plus_family_prior
BaHfCaHfO6,7.105780282,3.4741,absorber,ml_plus_family_prior
BaHfCaSiO6,7.124555422,3.4729,absorber,ml_plus_family_prior
BaHfCaSnO6,6.149864419,3.5642,absorber,ml_plus_family_prior
BaHfCaTiO6,4.881718641,3.5569,absorber,ml_plus_family_prior
BaHfCaZrO6,6.793831407,3.5297,absorber,ml_plus_family_prior
BaHfCsNbO6,4.17192157,3.5778,absorber,ml_plus_family_prior
BaHfCsTaO6,4.954141388,3.5605,absorber,ml_plus_family_prior
BaHfCsVO6,2.024082776,3.849,absorber,ml_plus_family_prior
BaHfGaNbO6,2.740038109,3.7279,absorber,ml_plus_family_prior
BaHfGaTaO6,3.468891843,3.6669,absorber,ml_plus_family_prior
BaHfInNbO6,1.490876326,3.8394,absorber,ml_plus_family_prior
BaHfInTaO6,2.148573734,3.8072,absorber,ml_plus_family_prior
BaHfKNbO6,4.237405144,3.5746,absorber,ml_plus_family_prior
BaHfKSbO6,5.319984256,3.5646,absorber,ml_plus_family_prior
BaHfKTaO6,5.043565766,3.5739,absorber,ml_plus_family_prior
BaHfLaAlO6,6.842296397,3.4637,absorber,ml_plus_family_prior
BaHfLaGaO6,7.087096038,3.4721,absorber,ml_plus_family_prior
BaHfLaInO6,6.388361955,3.5381,absorber,ml_plus_family_prior
BaHfLaScO6,7.259237807,3.4723,absorber,ml_plus_family_prior
BaHfLiNbO6,4.346862988,3.5789,absorber,ml_plus_family_prior
BaHfLiTaO6,5.156989314,3.5629,absorber,ml_plus_family_prior
BaHfLiVO6,1.950932284,3.853,absorber,ml_plus_family_prior
BaHfMgTiO6,5.157325978,3.5394,absorber,ml_plus_family_prior
BaHfMgZrO6,7.180769915,3.4516,absorber,ml_plus_family_prior
BaHfNaNbO6,4.323594526,3.5789,absorber,ml_plus_family_prior
BaHfNaSbO6,5.605111851,3.5323,absorber,ml_plus_family_prior
BaHfNaTaO6,5.133972612,3.5718,absorber,ml_plus_family_prior
BaHfNaVO6,1.943310423,3.853,absorber,ml_plus_family_prior
BaHfPbHfO6,5.861282859,3.5403,absorber,ml_plus_family_prior
BaHfPbTiO6,4.716210837,3.5694,absorber,ml_plus_family_prior
BaHfPbZrO6,5.798471802,3.544,absorber,ml_plus_family_prior
BaHfRbNbO6,4.19891716,3.5759,absorber,ml_plus_family_prior
BaHfRbTaO6,4.999203073,3.562,absorber,ml_plus_family_prior
BaHfSnHfO6,5.154654591,3.5924,absorber,ml_plus_family_prior
BaHfSnTiO6,4.117831884,3.6025,absorber,ml_plus_family_prior
BaHfSnZrO6,5.129260058,3.6037,absorber,ml_plus_family_prior
BaHfSrGeO6,6.108099686,3.5438,absorber,ml_plus_family_prior
BaHfSrHfO6,6.703417504,3.537,absorber,ml_plus_family_prior
BaHfSrSiO6,7.100622387,3.4711,absorber,ml_plus_family_prior
BaHfSrSnO6,6.260326191,3.5628,absorber,ml_plus_family_prior
BaHfSrTiO6,4.711382223,3.5659,absorber,ml_plus_family_prior
BaHfSrZrO6,6.459329422,3.5448,absorber,ml_plus_family_prior
BaHfTlNbO6,2.787349496,3.8396,absorber,ml_plus_family_prior
BaHfTlTaO6,3.519530094,3.6917,absorber,ml_plus_family_prior
BaHfYAlO6,7.467627553,3.4637,absorber,ml_plus_family_prior
BAs,1.43,3.7800000000000002,monolayer,literature_HSE06_monolayer
BaSnAgNbO6,4.196255316,3.6024,absorber,ml_plus_family_prior
BaSnBaTiO6,4.610173391,3.5944,absorber,ml_plus_family_prior
BaSnCaGeO6,2.613094084,3.8699,absorber,ml_plus_family_prior
BaSnCaSiO6,3.328665599,3.7132,absorber,ml_plus_family_prior
BaSnCaSnO6,3.237558695,3.6852,absorber,ml_plus_family_prior
BaSnCaTiO6,4.634935362,3.5947,absorber,ml_plus_family_prior
BaSnLaAlO6,5.229700982,3.5624,absorber,ml_plus_family_prior
BaSnLaGaO6,3.753770355,3.6136,absorber,ml_plus_family_prior
BaSnLaInO6,3.824912325,3.6232,absorber,ml_plus_family_prior
BaSnLiNbO6,4.985344912,3.5906,absorber,ml_plus_family_prior
BaSnLiVO6,2.187158914,3.8375,absorber,ml_plus_family_prior
BaSnMgTiO6,4.682433617,3.5742,absorber,ml_plus_family_prior
BaSnMgZrO6,5.534709008,3.5412,absorber,ml_plus_family_prior
BaSnNaNbO6,4.950429901,3.5891,absorber,ml_plus_family_prior
BaSnNaSbO6,1.584677745,3.8745,absorber,ml_plus_family_prior
BaSnNaVO6,2.182041303,3.8375,absorber,ml_plus_family_prior
BaSnSnTiO6,4.156500556,3.6015,absorber,ml_plus_family_prior
BaSnSrGeO6,1.902720005,3.8806,absorber,ml_plus_family_prior
BaSnSrSiO6,3.060194418,3.6585,absorber,ml_plus_family_prior
BaSnSrSnO6,2.664761815,3.8559,absorber,ml_plus_family_prior
BaSnSrTiO6,4.845106688,3.5946,absorber,ml_plus_family_prior
BaTiAgNbO6,3.238934908,3.662,absorber,ml_plus_family_prior
BaTiCaGeO6,4.544465349,3.5677,absorber,ml_plus_family_prior
BaTiCaSiO6,4.314413855,3.5704,absorber,ml_plus_family_prior
BaTiCaSnO6,4.63511974,3.5947,absorber,ml_plus_family_prior
BaTiCaTiO6,3.834829908,3.5927,absorber,ml_plus_family_prior
BaTiCsNbO6,3.933396345,3.5694,absorber,ml_plus_family_prior
BaTiCsVO6,2.387688728,3.8131,absorber,ml_plus_family_prior
BaTiLaAlO6,4.924750863,3.5305,absorber,ml_plus_family_prior
BaTiLaGaO6,5.227039321,3.554,absorber,ml_plus_family_prior
BaTiLaInO6,5.084089538,3.5692,absorber,ml_plus_family_prior
BaTiLiNbO6,3.463015828,3.6847,absorber,ml_plus_family_prior
BaTiLiVO6,2.517040515,3.7842,absorber,ml_plus_family_prior
BaTiMgTiO6,4.287310033,3.5501,absorber,ml_plus_family_prior
BaTiMgZrO6,5.285884852,3.5436,absorber,ml_plus_family_prior
BaTiNaNbO6,3.438581234,3.6826,absorber,ml_plus_family_prior
BaTiNaSbO6,3.997105561,3.5551,absorber,ml_plus_family_prior
BaTiNaVO6,2.180167758,3.8275,absorber,ml_plus_family_prior
BaTiSnTiO6,2.851249888,3.7677,absorber,ml_plus_family_prior
BaTiSrGeO6,4.35844875,3.5794,absorber,ml_plus_family_prior
BaTiSrSiO6,4.207262042,3.5658,absorber,ml_plus_family_prior
BaTiSrSnO6,4.859086368,3.5946,absorber,ml_plus_family_prior
BaTiSrTiO6,3.773082118,3.5936,absorber,ml_plus_family_prior
BaTiTlTaO6,2.184473305,3.8428,absorber,ml_plus_family_prior
BaTiYAlO6,4.942037308,3.5305,absorber,ml_plus_family_prior
BaZrAgNbO6,4.048794437,3.5621,absorber,ml_plus_family_prior
BaZrAgTaO6,4.158986001,3.5804,absorber,ml_plus_family_prior
BaZrBaSnO6,6.142792824,3.5683,absorber,ml_plus_family_prior
BaZrBaTiO6,4.586349916,3.5692,absorber,ml_plus_family_prior
BaZrCaGeO6,5.912270768,3.5496,absorber,ml_plus_family_prior
BaZrCaSiO6,6.640590237,3.5434,absorber,ml_plus_family_prior
BaZrCaSnO6,6.572670735,3.5698,absorber,ml_plus_family_prior
BaZrCaTiO6,4.883903763,3.5589,absorber,ml_plus_family_prior
BaZrCaZrO6,6.311282226,3.5463,absorber,ml_plus_family_prior
BaZrCsNbO6,4.133326334,3.5804,absorber,ml_plus_family_prior
BaZrCsTaO6,4.861702868,3.5614,absorber,ml_plus_family_prior
BaZrCsVO6,2.395969852,3.7657,absorber,ml_plus_family_prior
BaZrGaNbO6,2.741399812,3.6998,absorber,ml_plus_family_prior
BaZrGaTaO6,3.420362849,3.6775,absorber,ml_plus_family_prior
BaZrInNbO6,1.504016995,3.7944,absorber,ml_plus_family_prior
BaZrInTaO6,2.115610367,3.7548,absorber,ml_plus_family_prior
BaZrKNbO6,4.192233183,3.5785,absorber,ml_plus_family_prior
BaZrKSbO6,5.244987496,3.5664,absorber,ml_plus_family_prior
BaZrKTaO6,4.946851271,3.5614,absorber,ml_plus_family_prior
BaZrLaAlO6,6.675560233,3.5237,absorber,ml_plus_family_prior
BaZrLaGaO6,6.801343992,3.5284,absorber,ml_plus_family_prior
BaZrLaInO6,6.468202648,3.5431,absorber,ml_plus_family_prior
BaZrLaScO6,6.949118842,3.4784,absorber,ml_plus_family_prior
BaZrLiNbO6,4.294253113,3.5772,absorber,ml_plus_family_prior
BaZrLiTaO6,5.060782046,3.576,absorber,ml_plus_family_prior
BaZrLiVO6,1.971169487,3.7932,absorber,ml_plus_family_prior
BaZrMgTiO6,5.389081221,3.5439,absorber,ml_plus_family_prior
BaZrMgZrO6,6.96083831,3.4516,absorber,ml_plus_family_prior
BaZrNaNbO6,4.270644268,3.5772,absorber,ml_plus_family_prior
BaZrNaSbO6,5.526897153,3.5385,absorber,ml_plus_family_prior
BaZrNaTaO6,5.030675991,3.576,absorber,ml_plus_family_prior
BaZrNaVO6,1.958775816,3.7932,absorber,ml_plus_family_prior
BaZrPbHfO6,5.798203095,3.544,absorber,ml_plus_family_prior
BaZrPbTiO6,4.688503642,3.5714,absorber,ml_plus_family_prior
BaZrPbZrO6,5.739209581,3.5343,absorber,ml_plus_family_prior
BaZrRbNbO6,4.158490708,3.5804,absorber,ml_plus_family_prior
BaZrRbTaO6,4.904996208,3.5614,absorber,ml_plus_family_prior
BaZrSnHfO6,5.129425153,3.6037,absorber,ml_plus_family_prior
BaZrSnTiO6,4.11156648,3.6045,absorber,ml_plus_family_prior
BaZrSnZrO6,5.112918696,3.6042,absorber,ml_plus_family_prior
BaZrSrGeO6,6.035786095,3.5498,absorber,ml_plus_family_prior
BaZrSrHfO6,6.459207069,3.5448,absorber,ml_plus_family_prior
BaZrSrSiO6,6.576553008,3.5419,absorber,ml_plus_family_prior
BaZrSrSnO6,6.428286699,3.5683,absorber,ml_plus_family_prior
BaZrSrTiO6,4.67649105,3.568,absorber,ml_plus_family_prior
BaZrSrZrO6,6.259867326,3.5448,absorber,ml_plus_family_prior
BaZrTlNbO6,2.79832233,3.7979,absorber,ml_plus_family_prior
BaZrTlTaO6,3.480467428,3.6922,absorber,ml_plus_family_prior
BaZrYAlO6,7.104402829,3.4687,absorber,ml_plus_family_prior
BeSiP2,1.4,4.2,absorber,literature_SCAPS
BN,5.68,0.8799999999999999,monolayer,literature_HSE06_monolayer
BP,1.59,3.84,monolayer,literature_HSE06_monolayer
BSb,0.91,3.92,monolayer,literature_HSE06_monolayer
C6PcH2,1.6,3.7,htl,literature_SCAPS
C6TBTAPH2,1.59,3.58,htl,literature_SCAPS
CaGeAgNbO6,4.220841195,3.5781,absorber,ml_plus_family_prior
CaGeCaSiO6,4.171278359,3.577,absorber,ml_plus_family_prior
CaGeCaSnO6,3.503853221,3.7091,absorber,ml_plus_family_prior
CaGeCaTiO6,4.802428919,3.57,absorber,ml_plus_family_prior
CaGeLaAlO6,5.708900913,3.5128,absorber,ml_plus_family_prior
CaGeLaGaO6,4.068071283,3.559,absorber,ml_plus_family_prior
CaGeLaInO6,4.288775178,3.5768,absorber,ml_plus_family_prior
CaGeMgTiO6,5.224069822,3.5441,absorber,ml_plus_family_prior
CaGeSnTiO6,3.350439602,3.7255,absorber,ml_plus_family_prior
CaGeYAlO6,6.231533057,3.5268,absorber,ml_plus_family_prior
CaHfAgNbO6,4.219675653,3.5744,absorber,ml_plus_family_prior
CaHfAgTaO6,5.065212369,3.5742,absorber,ml_plus_family_prior
CaHfBaSnO6,6.318267248,3.5642,absorber,ml_plus_family_prior
CaHfBaTiO6,4.891229032,3.5569,absorber,ml_plus_family_prior
CaHfBaZrO6,6.78352084,3.5297,absorber,ml_plus_family_prior
CaHfCaGeO6,6.975336372,3.4792,absorber,ml_plus_family_prior
CaHfCaSiO6,7.339484884,3.4729,absorber,ml_plus_family_prior
CaHfCaSnO6,6.545899417,3.5642,absorber,ml_plus_family_prior
CaHfCaTiO6,5.2391328,3.5597,absorber,ml_plus_family_prior
CaHfCaZrO6,7.019655916,3.4803,absorber,ml_plus_family_prior
CaHfCsNbO6,4.18714751,3.5751,absorber,ml_plus_family_prior
CaHfCsVO6,2.234427829,3.832,absorber,ml_plus_family_prior
CaHfGaNbO6,2.259002479,3.7594,absorber,ml_plus_family_prior
CaHfGaTaO6,3.12564489,3.6359,absorber,ml_plus_family_prior
CaHfInNbO6,1.454858937,3.8397,absorber,ml_plus_family_prior
CaHfInTaO6,2.03089957,3.8265,absorber,ml_plus_family_prior
CaHfKNbO6,4.596569242,3.5701,absorber,ml_plus_family_prior
CaHfKSbO6,5.501346172,3.5652,absorber,ml_plus_family_prior
CaHfLaAlO6,7.680848563,3.4655,absorber,ml_plus_family_prior
CaHfLaGaO6,7.195321372,3.4735,absorber,ml_plus_family_prior
CaHfLaInO6,6.615394048,3.5396,absorber,ml_plus_family_prior
CaHfLaScO6,7.286131811,3.4741,absorber,ml_plus_family_prior
CaHfLiNbO6,4.85855487,3.5703,absorber,ml_plus_family_prior
CaHfLiVO6,2.939415754,3.6534,absorber,ml_plus_family_prior
CaHfMgTiO6,5.757074701,3.5026,absorber,ml_plus_family_prior
CaHfMgZrO6,7.657304806,3.4541,absorber,ml_plus_family_prior
CaHfNaNbO6,5.09102671,3.5735,absorber,ml_plus_family_prior
CaHfNaSbO6,5.696946038,3.5257,absorber,ml_plus_family_prior
CaHfNaTaO6,5.899206132,3.5384,absorber,ml_plus_family_prior
CaHfNaVO6,2.576282825,3.7998,absorber,ml_plus_family_prior
CaHfPbHfO6,5.946077772,3.5425,absorber,ml_plus_family_prior
CaHfPbTiO6,4.343194061,3.5788,absorber,ml_plus_family_prior
CaHfPbZrO6,5.663239448,3.535,absorber,ml_plus_family_prior
CaHfRbNbO6,4.347730015,3.5785,absorber,ml_plus_family_prior
CaHfSnHfO6,5.099139427,3.603,absorber,ml_plus_family_prior
CaHfSnTiO6,3.395877585,3.7117,absorber,ml_plus_family_prior
CaHfSnZrO6,4.960405248,3.5938,absorber,ml_plus_family_prior
CaHfSrGeO6,6.296526494,3.5452,absorber,ml_plus_family_prior
CaHfSrHfO6,7.245106988,3.4741,absorber,ml_plus_family_prior
CaHfSrSiO6,7.311458271,3.4729,absorber,ml_plus_family_prior
CaHfSrSnO6,6.441396629,3.5642,absorber,ml_plus_family_prior
CaHfSrTiO6,5.063213848,3.5714,absorber,ml_plus_family_prior
CaHfSrZrO6,7.258641193,3.4803,absorber,ml_plus_family_prior
CaHfTlNbO6,2.785946526,3.8383,absorber,ml_plus_family_prior
CaHfTlTaO6,3.488495574,3.6936,absorber,ml_plus_family_prior
CaHfYAlO6,8.019541754,3.4655,absorber,ml_plus_family_prior
CaSiAgNbO6,3.835308947,3.5907,absorber,ml_plus_family_prior
CaSiCaSnO6,4.523794734,3.5898,absorber,ml_plus_family_prior
CaSiCaTiO6,4.563855279,3.5591,absorber,ml_plus_family_prior
CaSiLaAlO6,7.763296446,3.4651,absorber,ml_plus_family_prior
CaSiLaGaO6,5.420695949,3.5551,absorber,ml_plus_family_prior
CaSiLaInO6,5.447420818,3.5592,absorber,ml_plus_family_prior
CaSiMgTiO6,4.905223459,3.5366,absorber,ml_plus_family_prior
CaSiSnTiO6,2.549360828,3.8181,absorber,ml_plus_family_prior
CaSiYAlO6,8.343255111,3.4651,absorber,ml_plus_family_prior
CaSnAgNbO6,3.845223245,3.6254,absorber,ml_plus_family_prior
CaSnCaTiO6,5.021395043,3.5882,absorber,ml_plus_family_prior
CaSnLaAlO6,5.731598265,3.5301,absorber,ml_plus_family_prior
CaSnLaGaO6,4.421397112,3.6033,absorber,ml_plus_family_prior
CaSnLaInO6,4.332199336,3.6035,absorber,ml_plus_family_prior
CaSnMgTiO6,5.246768531,3.5684,absorber,ml_plus_family_prior
CaSnSnTiO6,2.72801287,3.8642,absorber,ml_plus_family_prior
CaSnYAlO6,5.902973047,3.5426,absorber,ml_plus_family_prior
CaTiAgNbO6,3.399832758,3.696,absorber,ml_plus_family_prior
CaTiLaAlO6,5.239331703,3.5332,absorber,ml_plus_family_prior
CaTiLaGaO6,5.340395495,3.557,absorber,ml_plus_family_prior
CaTiLaInO6,5.218969424,3.5579,absorber,ml_plus_family_prior
CaTiMgTiO6,4.786930752,3.548,absorber,ml_plus_family_prior
CaTiSnTiO6,2.795444748,3.8533,absorber,ml_plus_family_prior
CaTiYAlO6,5.421790832,3.5351,absorber,ml_plus_family_prior
CaZrAgNbO6,4.352637765,3.5811,absorber,ml_plus_family_prior
CaZrAgTaO6,5.00355801,3.5643,absorber,ml_plus_family_prior
CaZrBaSnO6,6.571947433,3.5698,absorber,ml_plus_family_prior
CaZrBaTiO6,4.941329535,3.5589,absorber,ml_plus_family_prior
CaZrCaGeO6,6.336280867,3.5513,absorber,ml_plus_family_prior
CaZrCaSiO6,6.891564761,3.4773,absorber,ml_plus_family_prior
CaZrCaSnO6,6.688083161,3.5681,absorber,ml_plus_family_prior
CaZrCaTiO6,5.26054136,3.5638,absorber,ml_plus_family_prior
CaZrCsNbO6,4.287619027,3.577,absorber,ml_plus_family_prior
CaZrCsVO6,2.604377392,3.76,absorber,ml_plus_family_prior
CaZrGaNbO6,2.228163324,3.7097,absorber,ml_plus_family_prior
CaZrGaTaO6,3.014914456,3.6166,absorber,ml_plus_family_prior
CaZrInNbO6,1.456944238,3.7946,absorber,ml_plus_family_prior
CaZrInTaO6,2.057918429,3.7703,absorber,ml_plus_family_prior
CaZrKNbO6,4.630967138,3.5722,absorber,ml_plus_family_prior
CaZrKSbO6,5.399489278,3.5693,absorber,ml_plus_family_prior
CaZrLaAlO6,6.792712674,3.5141,absorber,ml_plus_family_prior
CaZrLaGaO6,6.915401065,3.4796,absorber,ml_plus_family_prior
CaZrLaInO6,6.732697601,3.5428,absorber,ml_plus_family_prior
CaZrLaScO6,7.106711864,3.4803,absorber,ml_plus_family_prior
CaZrLiNbO6,5.120245746,3.5741,absorber,ml_plus_family_prior
CaZrLiTaO6,5.605585615,3.5395,absorber,ml_plus_family_prior
CaZrLiVO6,3.120799521,3.6527,absorber,ml_plus_family_prior
CaZrMgTiO6,5.924793527,3.5192,absorber,ml_plus_family_prior
CaZrMgZrO6,7.080509925,3.4541,absorber,ml_plus_family_prior
CaZrNaNbO6,5.162790192,3.5672,absorber,ml_plus_family_prior
CaZrNaSbO6,5.537664127,3.5395,absorber,ml_plus_family_prior
CaZrNaTaO6,5.939519026,3.5452,absorber,ml_plus_family_prior
CaZrNaVO6,2.457278723,3.6919,absorber,ml_plus_family_prior
CaZrPbHfO6,5.966256093,3.5487,absorber,ml_plus_family_prior
CaZrPbTiO6,4.496582604,3.5695,absorber,ml_plus_family_prior
CaZrPbZrO6,5.921731313,3.5479,absorber,ml_plus_family_prior
CaZrRbNbO6,4.296312174,3.577,absorber,ml_plus_family_prior
CaZrSnHfO6,4.966758775,3.5938,absorber,ml_plus_family_prior
CaZrSnTiO6,3.500428614,3.6963,absorber,ml_plus_family_prior
CaZrSrGeO6,6.114467667,3.5513,absorber,ml_plus_family_prior
CaZrSrHfO6,7.245451656,3.4803,absorber,ml_plus_family_prior
CaZrSrSiO6,6.832765223,3.4773,absorber,ml_plus_family_prior
CaZrSrSnO6,6.724869435,3.5681,absorber,ml_plus_family_prior
CaZrSrTiO6,5.078140778,3.5735,absorber,ml_plus_family_prior
CaZrSrZrO6,6.802271822,3.5297,absorber,ml_plus_family_prior
CaZrTlNbO6,2.711079064,3.8056,absorber,ml_plus_family_prior
CaZrTlTaO6,3.399255554,3.6992,absorber,ml_plus_family_prior
CaZrYAlO6,7.690766219,3.4705,absorber,ml_plus_family_prior
CdS,2.4,4.18,etl,literature_SCAPS
CdZnS,3.2,4.2,etl,literature_SCAPS
CFTS,1.3,3.3,htl,literature_SCAPS
CH3NH3PbBr3,2.32,3.7614,absorber,ml_plus_family_prior
CH3NH3PbCl3,2.88,3.5102,absorber,ml_plus_family_prior
CH3NH3PbI3,1.55,3.7946,absorber,ml_plus_family_prior
CNTS,1.74,3.87,htl,literature_SCAPS
Cs2AgAlBr6,1.0258,3.694,absorber,ml_plus_family_prior
Cs2AgAlBr6 (cubic),1.0274,3.694,absorber,ml_plus_family_prior
Cs2AgAlBr6 (orthorhombic),1.0258,3.694,absorber,ml_plus_family_prior
Cs2AgAlCl6,2.1569,3.6838,absorber,ml_plus_family_prior
Cs2AgAlCl6 (cubic),2.1892,3.6851,absorber,ml_plus_family_prior
Cs2AgAlCl6 (orthorhombic),2.1569,3.6838,absorber,ml_plus_family_prior
Cs2AgAlI6,0.8116,3.7389,absorber,ml_plus_family_prior
Cs2AgAlI6 (orthorhombic),0.8116,3.7389,absorber,ml_plus_family_prior
Cs2AgAsBr6,0.7785,3.9408,absorber,ml_plus_family_prior
Cs2AgAsBr6 (cubic),0.781,3.9398,absorber,ml_plus_family_prior
Cs2AgAsBr6 (orthorhombic),0.7785,3.9408,absorber,ml_plus_family_prior
Cs2AgAsCl6,1.2717,3.9363,absorber,ml_plus_family_prior
