DOI,Title,Authors,Journal,Year,Material,Material_Class,Doping,Material_Dimensionality,Crystal_Structure,Gas,DFT_Software,Functional,Dispersion_Correction,Supercell,Adsorption_Site,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit,Data_Source,Extraction_Notes
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,2D Carbon,N,2D,NA,NO2,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.98,-0.55,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,2D Carbon,N,2D,NA,NH3,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.12,0.04,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,2D,NA,CO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-2.33,0.26,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,2D,NA,NO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-3.04,-0.29,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,2D,NA,NO2,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-3.04,-0.38,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,2D Carbon,vacancy,2D,NA,NH3,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.24,0.02,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-u,0.0184,0.021,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-u,0.0187,0.021,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-u,0.0203,0.021,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-n,0.0238,0.013,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=n; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-n,0.0237,0.015,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=n; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-n,0.0265,0.014,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=n; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-d,0.0178,-0.009,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-d,0.0185,-0.009,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-d,0.0194,-0.01,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,H2O,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-v,0.047,-0.025,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=v; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NH3,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-u,0.0211,0.026,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NH3,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-u,0.0201,0.026,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NH3,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-u,0.0308,0.027,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NH3,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-d,0.0147,0.001,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NH3,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-d,0.0156,0.0,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NH3,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-d,0.0247,-0.001,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,CO,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-u,0.01,0.019,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,CO,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-u,0.0096,0.019,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,CO,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-u,0.0131,0.019,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,CO,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-d,0.0084,0.009,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,CO,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-d,0.0096,0.01,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,CO,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-n,0.014,0.013,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=n; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,CO,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-n,0.0141,0.012,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=n; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO2,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-d,0.0674,-0.099,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO2,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-d,0.0653,-0.099,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO2,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-d,0.0626,-0.098,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO2,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-u,0.0547,-0.089,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO2,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-u,0.0545,-0.09,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO2,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-n,0.0667,-0.102,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=n; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-u,0.0157,0.006,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-u,0.014,0.006,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=u; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-d,0.0126,0.007,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO,Abinit,PBE,NA,4x4 graphene (32 C atoms),T-d,0.0106,0.005,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=T, orient=d; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO,Abinit,PBE,NA,4x4 graphene (32 C atoms),C-n,0.0279,0.018,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=C, orient=n; Hirshfeld ΔQ"
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,2D Carbon,NA,2D,NA,NO,Abinit,PBE,NA,4x4 graphene (32 C atoms),B-n,0.0285,0.017,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,"Table; site=B, orient=n; Hirshfeld ΔQ"
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO,VASP,PBE,NA,MoS2 monolayer supercell,most_stable,-0.003,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO,VASP,DFT-D2,DFT-D2,MoS2 monolayer supercell,most_stable,-0.073,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO,VASP,optPBE-vdw,optPBE-vdw,MoS2 monolayer supercell,most_stable,-0.163,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO,VASP,revPBE-vdw,revPBE-vdw,MoS2 monolayer supercell,most_stable,-0.143,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO2,VASP,PBE,NA,MoS2 monolayer supercell,most_stable,-0.004,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO2,VASP,DFT-D2,DFT-D2,MoS2 monolayer supercell,most_stable,-0.139,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO2,VASP,optPBE-vdw,optPBE-vdw,MoS2 monolayer supercell,most_stable,-0.253,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,CO2,VASP,revPBE-vdw,revPBE-vdw,MoS2 monolayer supercell,most_stable,-0.21,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,MoS2,TMD,NA,2D,NA,NH3,VASP,PBE,NA,MoS2 monolayer supercell,most_stable,-0.009,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Table I; Bader charge for NO2 only
