material,status,Eg_dataset_eV,chi_dataset_eV,confidence,web_check,flags
1T-SnS2,PASS,2.48,4.97,high,C2DB HSE 2.36–2.51; Paper1 HSE 2.48,
1T-SnSe2,PASS,1.44,5.18,high,C2DB HSE 1.333; Paper1 HSE 1.44,
1T-TiS2,PASS,0.71,5.71,medium,C2DB HSE 1.184; Paper1 HSE 0.71 (method spread),
1T-YbI2,PASS_PAPER,2.35,2.84,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-ZnBr2,PASS_PAPER,4.61,3.21,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-ZnCl2,PASS_PAPER,6.12,2.68,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-ZnI2,PASS,2.59,3.85,medium,Lu APL HSE 2.03; Paper1 HSE 2.59 (HSE code spread),
1T-ZrS2,PASS,1.95,5.25,high,C2DB HSE 2.167; Paper1 HSE 1.95,
1T-ZrSe2,PASS,0.94,5.21,high,C2DB HSE 1.202; Paper1 HSE 0.94,
1T_d-ReS2,PASS,1.96,4.28,high,Ozcelik PRB Table I HSE Eg=1.96,
1T_d-ReSe2,PASS,1.7,3.8,high,Ozcelik PRB Table I HSE Eg=1.70,
2H-GeI2,PASS_PAPER,2.36,3.96,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
2H-MoS2,PASS,"[2.22, 2.15]",4.2,high,C2DB HSE Eg=2.09; Ozcelik HSE=2.15; optical A-exciton~1.8,
2H-MoSe2,PASS,"[1.95, 1.87]",3.765,high,mono HSE~1.6–1.9; Ozcelik 1.87,
2H-MoTe2,PASS,"[1.5, 1.47]",3.685,high,mono HSE~1.1–1.6; Ozcelik 1.47,
2H-WS2,PASS,"[2.2, 2.09]",3.825,high,mono HSE~2.0; Ozcelik 2.09,
2H-WSe2,PASS,"[1.88, 1.75]",3.475,high,mono HSE~1.6–1.9; Ozcelik 1.75,
2H-WTe2,PASS,"[1.3, 1.21]",3.435,medium,mono HSE; Ozcelik 1.21,
2H-ZrCl2,PASS_PAPER,1.55,3.03,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
AlAs,PASS,2.35,3.23,high,Ozcelik PRB Table I HSE Eg=2.35 (source theory),
AlN,PASS,4.04,1.96,medium,mono AlN wide gap; Ozcelik Eg=4.04,
AlP,PASS,3.14,2.62,high,Ozcelik PRB Table I HSE Eg=3.14,
AlSb_b,PASS,2.09,2.29,high,Ozcelik PRB Table I HSE Eg=2.09,
As_b,PASS,2.06,3.48,high,Ozcelik PRB Table I HSE Eg=2.06,
As_w,PASS,1.25,3.71,high,Ozcelik PRB Table I HSE Eg=1.25,
BAs,PASS,1.43,3.78,high,Ozcelik PRB Table I HSE Eg=1.43,
BN,PASS,5.68,0.88,high,hBN mono HSE gap large ~5–6 eV; shallow χ ~0.9,
BP,PASS,1.59,3.84,high,Ozcelik PRB Table I HSE Eg=1.59,
BSb,PASS,0.91,3.92,high,Ozcelik PRB Table I HSE Eg=0.91,
BeSiP2,PASS,1.4,4.2,medium,SCAPS TierA 1.4; DFT GGA~1.15–1.36 (mild under-DFTes); OK for SCAPS cite,NOTE: DFT GGA often ~1.2–1.4; SCAPS uses 1.4 from cited literature — OK
C6PcH2,PASS,1.6,3.7,low,Paper4 PMC table only,
C6TBTAPH2,PASS,1.59,3.58,low,Paper4 PMC table only (specialty HTL),
CNTS,PASS,1.74,3.87,medium,Cu2NiSnS4-family SCAPS ~1.5–1.8,
CdS,PASS,2.4,4.18,high,expt ~2.4 / χ~4.0–4.2,
CdZnS,PASS,3.2,4.2,high,SCAPS Paper4; CdZnS ETL common,
CoPS3,PASS,1.3,4.8,high,UPS IP=6.1; Nature paper confirmed,
CsPb0.625Zn0.375IBr2,PASS,1.05,4.27,medium,source paper Table1; Cs-Pb-halide family ~1 eV,
Cu2Te,PASS,1.18,4.2,low,narrow-gap telluride; CsPb Table2,
CuAlO2,PASS,3.46,2.5,high,delafossite ~3.5 eV; Paper4/CsPb 3.46/2.5,
CuI,PASS,3.1,2.1,high,SCAPS ~3.1 / χ~2.1,
CuSCN,PASS,3.6,1.7,high,SCAPS ~3.6 / χ~1.7,
D-PBTTT-14,PASS,2.16,3.2,medium,Paper4 PMC Eg=2.16 χ=3.2,
FePS3,PASS,1.35,4.05,high,UPS IP=5.4; Nature paper confirmed,
GaAs,PASS,1.42,4.07,high,bulk GaAs 1.42 eV exact,
GaAs_b,PASS,1.88,3.76,high,Ozcelik PRB Table I HSE Eg=1.88 (buckled mono ≠ bulk),
GaN,PASS,3.23,2.8,medium,mono GaN HSE; Ozcelik Eg=3.23,
GaP_b,PASS,2.49,1.8,high,Ozcelik PRB Table I HSE Eg=2.49,
GaSb_b,PASS,1.13,3.24,high,Ozcelik PRB Table I HSE Eg=1.13,
GeC,PASS,2.91,2.34,high,Ozcelik PRB Table I HSE Eg=2.91,
GeSn_b,PASS,0.46,4.07,high,Ozcelik PRB Table I HSE Eg=0.46,
HfS3,PASS,1.87,2.72,high,Ozcelik PRB Table I HSE Eg=1.87,
HfSe3,PASS,0.98,3.32,high,Ozcelik PRB Table I HSE Eg=0.98,
InAs_b,PASS,1.04,3.05,high,Ozcelik PRB Table I HSE Eg=1.04,
InN,PASS,1.35,3.76,high,Ozcelik PRB Table I HSE Eg=1.35,
InP_b,PASS,1.16,3.2,high,Ozcelik PRB Table I HSE Eg=1.16,
InSb_b,PASS,0.97,3.12,high,Ozcelik PRB Table I HSE Eg=0.97,
K2TiI6,PASS,1.61,4.0,high,expt 1.62 eV (MDPI Energies 2022); Paper4 1.61/4.0,
LBSO,PASS,3.12,4.4,high,La:BaSnO3 SCAPS Eg=3.12 χ=4.4 (IJPAP 2023),
MEH-PPV,PASS,2.1,2.8,medium,polymer ~2.0–2.2,
MWCNTs,PASS,1.55,3.64,medium,Paper4 PMC Eg=1.55 χ=3.64,
MnPS3,PASS,2.85,3.15,high,UPS IP=6.0; optical gap Fig2d; Nature 10.1038/s41699-025-00578-w,
MoO3,PASS,3.0,2.3,high,SCAPS+Paper4 PMC Eg=3.0 χ=2.3,
MoS2,PASS,1.29,4.2,high,bulk~1.2–1.3 (CsPb HTL); mono HSE~2.1 (C2DB),NOTE: CsPb uses bulk-like MoS2 Eg=1.29 (not monolayer); consistent for SCAPS context
N_b,PASS,6.01,2.67,high,Ozcelik PRB Table I HSE Eg=6.01,
Nb2O5,PASS,3.46,4.33,high,Paper4 PMC Eg=3.46 χ=4.33; common SCAPS,
NiCo2O4,PASS,2.3,3.48,high,expt ~2.32 eV (hybrid DFT ~2.2); Paper4 2.3,
NiO,PASS,3.6,1.8,high,SCAPS ~3.6–3.8 / χ~1.46–2.1,
NiPS3,PASS,1.4,4.8,high,UPS IP=6.2; Nature paper confirmed,
PC60BM,PASS,1.8,4.2,high,SCAPS consensus Eg~1.8–2.0 χ~3.9–4.2,
PCBM,PASS,2.0,3.9,high,same family as PC60BM,
PTAA,PASS,2.96,2.3,high,Paper4 PMC Eg=2.96 χ=2.3,
P_b,PASS,2.73,3.81,high,Ozcelik PRB Table I HSE Eg=2.73,
P_w,PASS,1.53,3.98,high,phosphorene HSE ~1.5; Ozcelik Eg=1.53,
Sb_b,PASS,1.22,3.26,high,Ozcelik PRB Table I HSE Eg=1.22,
SiC,PASS,3.27,2.19,medium,mono SiC HSE; Ozcelik Eg=3.27,
SiGe_b,PASS,0.55,4.25,high,Ozcelik PRB Table I HSE Eg=0.55,
SiSn_b,PASS,0.59,4.06,high,Ozcelik PRB Table I HSE Eg=0.59,
SnC,PASS,1.85,3.0,high,Ozcelik PRB Table I HSE Eg=1.85,
SnO2,PASS,3.6,3.9,high,literature/SCAPS ~3.5–3.6 / χ~4.0,
SnS2,PASS,1.85,4.26,medium,SCAPS/lit ~1.8–2.2,
TiO2,PASS,3.4,4.0,high,anatase/rutile expt ~3.0–3.2; SCAPS 3.2–3.4; MP~2.3 REJECTED,
TiO2:N,PASS,3.0,2.2,high,N-doped HTL in Paper4 PMC; Eg=3.0 matches table,
TiS3,PASS,1.04,3.29,high,Ozcelik HSE=1.04; expt ~1.1,
V2O5,PASS,2.2,3.4,high,SCAPS BeSiP2 Eg=2.2; χ often 3.4–4.0,
WS2,PASS,1.8,3.95,high,SCAPS bulk/few-layer ~1.8; monolayer HSE~2.0,
Zn3P2,PASS,1.5,4.2,medium,Zn3P2 ~1.5 eV photovoltaic,
ZnSe,PASS,2.81,4.09,high,bulk ZnSe ~2.7; CsPb paper 2.81,
ZnTe,PASS,2.25,3.73,high,bulk ZnTe ~2.25,
ZrS3,PASS,1.89,2.57,high,Ozcelik PRB Table I HSE Eg=1.89,
ZrSe3,PASS,0.95,3.26,high,Ozcelik PRB Table I HSE Eg=0.95,
nPB,PASS,2.4,3.0,low,Paper4 PMC; organic HTL,
