DOI,Title,Authors,Journal,Year,record_count
10.1016/j.apsusc.2015.03.068,A first-principles study on gas sensing properties of graphene and Pd-doped graphene,"Ma L, Zhang JM, Xu KW, Ji V",Applied Surface Science,2015,4
10.3762/bjnano.9.156,"Free-radical gases on two-dimensional transition-metal disulfides (XS2, X = Mo/W)","Li Y, Zhou J, Guo W",Beilstein Journal of Nanotechnology,2018,4
10.1039/C8TA08407F,A Janus MoSSe monolayer: a superior and strain-sensitive gas sensing material,"Jin C, Tang X, Tan X, Smith SC, Dai Y, Kou L",Journal of Materials Chemistry A,2019,4
10.1016/j.apsusc.2015.03.056,"Adsorption behavior of Co anchored on graphene sheets toward NO, SO2, NH3, CO and HCN molecules","Tang Y, Chen W, Li C, Pan L, Dai X, Ma D",Applied Surface Science,2015,4
10.3390/s19092123,Few-Layer MoS2 Nanosheets for NO2 Gas Sensing at Room Temperature,"Li W, Zhang Y, Long X, Cao J, Xin X, Guan X",Sensors,2019,3
10.1186/s11671-020-03361-6,Rh-doped MoTe2 Monolayer as a Promising Candidate for Sensing and Scavenging SF6 Decomposed Species: a DFT Study,Multiple authors,Nanoscale Research Letters,2020,3
10.3390/nano11010100,The Adsorption and Sensing Performances of Ir-modified MoS2 Monolayer toward SF6 Decomposition Products: A DFT Study,"Liu H, Wang F, Hu K, Li T, Yan Y, Li J",Nanomaterials,2021,3
10.5162/IMCS2010/P1.3.21,DFT study of NH3 adsorption on SnO2(110) surface,NA,Proceedings IMCS,2010,3
10.1038/srep08052,Charge-transfer-based Gas Sensing Using Atomic-layer MoS2,"Lee S, Cho SY, Kim S, Kim Y, Park J, Lee Y",Scientific Reports,2014,2
10.1016/j.apsusc.2020.146180,Adsorption of SO2 molecule on Ni-doped and Pd-doped graphene based on first-principle study,"Gao X, Zhou Q, Wang J, Xu L, Zeng W",Applied Surface Science,2020,2
10.1016/j.apsusc.2017.08.216,"Fe-doped graphene nanosheet as an adsorption platform of harmful gas molecules (CO, CO2, SO2 and H2S)","Cortes-Arriagada D, Villegas-Escobar N, Ortega DE",Applied Surface Science,2018,2
10.1088/1742-6596/3042/1/012026,Work function changes and adsorption energy of NO2 on SnO2(110),NA,Journal of Physics: Conference Series,2024,2
10.53730/ijhs.v6nS7.13392,Adsorption of SO2 air pollutant gas molecule on the pure and Al-doped graphene nano sheet: A DFT study,"Karimi N, Sardroodi JJ, Ebrahimzadeh AR",International Journal of Health Sciences,2022,2
10.1016/j.snb.2006.08.054,Ab initio study of NOx compounds adsorption on SnO2 surface,NA,Sensors and Actuators B: Chemical,2006,1
10.1016/j.cplett.2018.10.057,"Adsorption for SO2 gas molecules on B, N, P and Al doped MoS2: The DFT study",NA,Chemical Physics Letters,2018,1
